Предлог,Падеж,Варианты,N,Хаген,Т. Ф. Ефремова,Ляшевская-Шаров,Викисловарь,МАС,Opencorpora,ХАНКО,НКРЯ,SemSyn,Рогожникова,Шведова,Иомдин,Комментарий
в сторону,Род,,9,+,+,-,Устойч. сочетание,Предлог В во составе наречн. сочетания,,+,+,+,+,+,-,НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»
в сторону от,Род,в сторону ото,2,,-,-,-,-,,-,-,+,-,+,-,"НКРЯ: омонимия снята, наречный оборот + предлог ?"
встречу,Дат,,3,,-,-,+,+,-,,+,,,-,-,Ханко: контексты только с сущ.
в сумме,Род,,1,,-,-,-,-,,-,+,,-,-,-,
в супряге с,Твор,в супряге со,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,МАС: предложный оборот
в сфере,Род,,6,+,+,-,-,-,,+,+,+,-,+,-,
в счёт,Род,в счет,8,+,+,-,Устойч. сочетание,Устойч. сочетание,,+,+,+,+,-,-,МАС: предложный оборот
в темпе,Род,,3,,-,-,"Устойчивое сочетание, исп. в кач-ве наречной группы",Устойч. сочетание,,-,+,-,Нареч.,-,-,"НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»
МАС: наречный оборот"
в течение,Род,,10,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Сочетание в знач. предлога,,+,+,+,+,+,+,
в тон,"Род, Дат",,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,МАС: предложный оборот
в торце,Род,,1,,-,-,-,-,,-,+,,-,-,-,
в угодность,Дат,,3,,-,-,"Устойчивое сочетание, исп. в кач-ве наречной группы",Устойч. сочетание,,-,+,,-,-,-,МАС: предложный оборот
в угоду,Дат,,5,+,+,-,-,Устойч. сочетание,,-,+,,-,-,+,МАС: предложный оборот
в угон,Дат,,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,МАС: наречный оборот ?
в унисон с,Твор,в унисон со,4,+,-,-,-,? Устойч. сочетание,,+,-,,нареч.,+,-,"МАС: указано наречное уст. сочетание в унисон, значение 2 идёт с предлогом С
НКРЯ: омонимия не снята, наречный оборот + предлог"
в уровень с,Твор,в уровень со,4,,-,-,-,Устойч. сочетание,,+,+,,-,+,-,МАС: предложный оборот ?
в условиях,Род,,7,+,+,-,-,-,,+,+,+,+,+,-,
в ущерб,Дат,,8,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,+,+,-,-,МАС: предложный оборот
в форме,Род,,6,+,+,-,"Устойчивое сочетание, исп. в кач-ве прилаг. или наречия",Устойч. сочетание,,-,+,+,-,-,-,МАС: наречный оборот
в характере,Род,,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,МАС: наречный оборот ?
в ходе,Род,,9,+,+,-,Устойч. сочетание,-,,+,+,+,+,+,+,
в целях,Род,,9,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,+,+,+,-,МАС: предложный оборот
в части,Род,,4,,-,-,Устойчивое сочетание,Устойч. сочетание,,-,+,+,-,-,-,МАС: предложный оборот
в честь,Род,,8,+,+,-,Устойчивое сочетание (предлог),Устойч. сочетание,,+,+,,+,+,-,МАС: предложный оборот
в числе,Род,,7,+,+,-,Устойчивое сочетание,-,,+,+,+,+,-,-,
в число,Род,,3,+,+,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
в шаге от,Род,в шаге ото,1,,-,-,-,-,,-,+,,-,-,-,
выключая,Род,,4,,-,-,+,Деепр. в знач. предлога,+,,+,,,-,-,
выше,Род,,8,+,+,+,Прил. или нареч.,+,+,+,+,,,-,+,
глядя на,Вин,,2,,-,-,-,-,,+,+,,-,-,-,"Вики: глядя – дееприч.
МАС: глядя – дееприч."
глядя по,Дат,,4,,-,-,-,Устойч. сочетание,,+,+,,-,+,-,"Вики: глядя – дееприч.
МАС: предложный оборот"
далеко за,Вин,,2,,-,-,-,Нареч.,,+,+,,-,-,-,Вики: далеко – нареч.
для,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
для создания,Род,,1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
для-ради,Род,,3,,-,-,+,-,-,+,+,,,-,-,без дефиса в НКРЯ
до,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
за,"Вин, Твор",,10,+,+,+,+,+,+,+,+,,,+,+,
за вычетом,Род,,4,,-,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,,-,-,-,МАС: предложный оборот ?
за границами,Род,,2,,-,-,-,-,,-,+,+,-,-,-,
за границей,Род,,4,,-,-,"Устойчивое сочетание, исп. в кач-ве наречия",Устойч. сочетание,,Нареч.,+,-,Сочетание сущ. с предлогом ,-,-,"НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»
МАС: наречный оборот
Ханко: 2 контекста, наречное употребление"
за границу,Род,,4,,-,-,Устойч. сочетание,Устойч. сочетание,,Нареч.,+,-,Сочетание сущ. с предлогом,-,-,"НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»
МАС: наречный оборот
Ханко: 7 контекстов, среди них один в предложном употреблении"
за границы,Род,,2,,-,-,-,-,,-,+,+,-,-,-,
задолго до,Род,,2,,-,-,-,? Устойч. сочетание,,-,+,,-,-,-,"Вики: задолго – нареч.
МАС: задолго – нареч."
за исключением,Род,,10,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. выражение в знач. предлога,,+,+,+,+,+,+,
заместо,Род,замест,6,,-,+,+,+,+,,+,,,-,+,
за недостаточностью,Род,,1,,+,-,-,-,,-,-,,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
за неимением,Род,,4,,+,-,-,Устойч. сочетание с предлогом ЗА,,-,+,+,-,-,-,
за ненадобностью,Род,,1,,+,-,-,-,,-,-,,нареч.,-,-,"НКРЯ: указан как наречный оборот; в части, где омонимия не снята, встречается предложное употребление"
за пределами,Род,,3,,+,-,-,-,,-,+,+,-,-,-,
за пределы,Род,,1,,+,-,-,-,,-,-,,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
за-ради,Род,,1,-,-,-,-,-,-,-,+,,-,-,-,
за рамками,Род,,1,,+,-,-,-,,-,-,,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
за рамки,Род,,1,,+,-,-,-,,-,-,,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
за рубеж,Род,,2,,-,-,Устойч. сочетание,-,,Нареч.,+,-,Нареч.,-,-,"НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»
Ханко: 2 контекста, наречное употребление
Вики: есть указание на странице статьи зарубеж, но нет самой статьи за рубеж"
за рубежом,Род,,3,,-,-,"Устойчивое сочетание, исп. в кач-ве наречия",Устойч. сочетание,,Нареч.,+,-,Нареч.,-,-,"НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»
Ханко: 1 контекст, нарчное употребление
МАС: наречный оборот"
за счёт,Род,за счет,8,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,+,+,-,-,МАС: предложный оборот
за убылью,Род,,1,,+,-,-,-,,-,-,,-,-,-,"НКРЯ: омонимия не снята, предлог + сущ."
из,Род,изо,10,+,+,+,+,+,+,+,+,,,+,+,
из-за,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
изнутри,Род,,6,+,-,+,"Нареч., также предлог",нареч.,+,Нареч.,+,,,-,+,Ханко: 1 контекст
из области,Род,,1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
из-под,Род,из-подо,10,+,+,+,+,+,+,+,+,,,+,+,
из пределов,Род,,1,,+,-,-,-,,-,-,,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
из рамок,Род,,1,,+,-,-,-,,-,-,,-,-,-,"НКРЯ: омонимия не снята, предлог + сущ."
из расчёта,Им,из расчета,3,,-,-,"Устойчивое сочетание, исп. в кач-ве наречия",Устойч. сочетание,,-,+,,-,-,-,МАС: ?
из среды,Род,,2,,-,-,-,-,,+,+,,-,-,-,
из числа,Род,,2,+,+,-,-,-,,-,-,,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
именем,Род,,4,+,-,-,Устойчивое сочетание,Устойч. сочетание,-,-,+,,,-,-,МАС: предложный оборот ?
имени,Род,,3,+,-,-,-,Устойч. сочетание,-,-,+,,,-,-,МАС: предложный оборот ?
исключая,Вин,,7,+,+,+,+,+,+,Деепр.,+,,,-,-,Ханко: 1 контекст
исходя из,Род,исходя изо,7,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",-,,+,+,,+,+,-,
к,Дат,ко,10,+,+,+,+,+,+,+,+,,,+,+,
касаемо,Род,,6,+,+,-,+,+,+,,+,,,-,-,
касательно,Род,,9,+,+,+,+,+,+,,+,,,+,+,
к довершению,Род,,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,МАС: предложный оборот
к концу,Род,,1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
к началу,Род,,1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
ко времени,Род,,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,"МАС: наречный оборот
НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»"
кончая,Твор,,6,+,+,-,+,+,GRND,,+,,,+,-,
кроме,Род,,9,+,+,+,+,+,+,+,+,,,-,+,
кругом,Род,,6,+,-,+,"Наречие, также предлог",+,+,Нареч.,+,,,-,-,Ханко: 2 контекста
к середине,Род,,1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
к чести,Род,,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,МАС: предложный оборот
к числу,Род,,2,+,+,-,-,-,,-,-,,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
левее от,Род,левее ото,1,,-,-,-,-,,+,-,,-,-,-,"МАС: лево – нареч.
НКРЯ: омонимия не снята, нареч. + предлог"
лицом к,Дат,"лицом ко
к dat лицом
ко dat лицом",3,,-,-,"Устойчивое сочетание, исп. в кач-ве наречия",Устойч. сочетание,,-,+,,-,-,-,МАС: предложный оборот ?
лицом к лицу с,Твор,лицом к лицу со,1,,-,-,"Устойчивое сочетание, исп. в кач-ве предлога",-,,-,-,,-,-,-,"МАС: лицом к лицу – наречное уст. сочетание
НКРЯ: омонимия снята, наречный оборот + предлог"
меж,"Род, Твор",,10,+,+,+,+,+,+,+,+,,,+,+,
между,"Род, Твор",меж ?,10,+,+,+,+,+,+,+,+,,,+,+,
мимо,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
минус,Им,,5,,-,+,"Сущ., исп. в кач-ве предлога",сущ.,+,,+,,,-,+,
на,"Вин, Предл",,10,+,+,+,+,+,+,+,+,,,+,+,
на базе,Род,,6,+,+,-,Сочетание предлога с сущ. в знач. предлога,-,,+,-,+,+,-,-,"НКРЯ: омонимия снята, предлог + сущ."
на благо,"Род, Дат",,6,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",-,,+,+,,+,-,-,
на виду у,Род,,2,,-,-,"Устойчивое сочетание, исп. в кач-ве предлога",Наречное сочетание,,-,-,,нареч.,-,-,"НКРЯ: омонимия снята, наречный оборот + предлог"
наверху,Род,,3,+,-,adv,"наречие, также предлог",Нареч.,Нареч.,Нареч.,-,,,+,-,"Ханко: 1 контекст
НКРЯ: омонимия снята, наречие"
на волне,Род,,1,,-,-,-,-,,-,+,,-,-,-,
на время,Род,,3,,-,-,Устойч. сочетание,Устойч. сочетание,,Нареч.,+,-,Нареч./сочетание сущ. с предлогом,-,-,"НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»
МАС: наречный оборот
Ханко: 4 контекста, наречное употребление"
навроде,Род,,3,,-,+,+,-,+,,-,,,-,-,"НКРЯ: омонимия не снята, сущ.?!"
навстречу,Дат,,5,+,-,-,+,Нареч. в знач. предлога,Нареч.,Нареч.,+,,,+,-,Ханко: 3 контекста
на глазах,Род,,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,
на глазах у,Род,,5,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,-,+,,-,-,-,МАС: предложный оборот
на грани,Род,,7,+,+,-,Устойч. сочетание,Устойч. сочетание,,+,+,,+,-,-,МАС: предложный оборот ?
над,Твор,надо,10,+,+,+,+,+,+,+,+,,,+,+,
на дело,Род,,1,,-,-,-,-,,+,-,,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
назад,Вин,,3,,-,adv,+,Нареч.,Нареч.,Нареч.,+,,,-,+,
назади,Род,,3,+,-,-, нареч. также предлог,Нареч.,Нареч.,,+,,,-,-,
назло,Дат,,1,,-,-,"Нареч., предлог, послелог",Нареч.,Нареч.,-,-,,,-,-,"Ханко: нет контекстов
НКРЯ: наречие"
на имя,Род,,8,+,+,-,Устойч. сочетание,Устойч. сочетание,,+,+,+,+,-,-,МАС: предложный оборот
наискосок от,Род,наискосок ото,2,,-,-,-,-,,+,+,,-,-,-,"Вики: наискосок – нареч.
МАС: наискосок – нареч."
наискось от,Род,наискось ото,2,,-,-,-,-,,+,+,,-,-,-,"Вики: наискось – нареч.
МАС: наискось – нареч."
на исходе,Род,,2,,-,-,-,Устойч. сочетание,,-,+,-,Нареч.,-,-,"НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»
МАС: предложный оборот"
накануне,Род,,10,+,+,+,"Наречие, также предлог",+,+,+,+,,,+,+,
на краю,Род,,1,,-,-,-,-,,-,-,+,-,-,-,"МАС: указаны уст. сочетания на краю света/земли
Вики: указаны уст. сочетания на краю гибели/могилы / пропасти
НКРЯ: омонимия снята, предлог + сущ.; указаны наречные обороты на краю гроба/земли/могилы/света "
налево от,Род,налево ото,2,,-,-,-,-,,+,+,,-,-,-,"Вики: налево – нареч.
МАС: налево – нареч."
на манер,Род,,7,+,+,-,Белорус.: Сочетание предлога с сущ. в знач. предлога,Устойч. сочетание с предлогом НА,,+,+,,+,-,-,
на месте,Род,,3,,-,-,Устойчивое сочетание,Устойч. сочетание,,-,+,,нареч.,-,-,МАС: наречный + предложный оборот ?
наместо,Род,,3,,-,-,+,Нареч.,+,,+,,,-,-,
на начало,Род,,1,,-,-,-,-,,-,+,,-,-,-,
на ниве,Род,,1,,-,-,-,-,,-,+,,-,-,-,
на основании,Род,,7,+,+,-,-,Устойч. сочетание,,+,+,,+,+,-,МАС: предложный оборот
на основе,Род,,7,+,+,-,-,Устойч. сочетание,,+,+,+,+,-,-,МАС: предложный оборот
на переднем крае,Род,,1,,-,-,-,-,,-,+,,-,-,-,МАС: передний край – уст. сочетание
наперекор,Дат,,9,+,+,+,"Наречие, также предлог",+,+,,+,,,+,+,
наперерез,Дат,,4,+,+,-,"Наречие, также предлог",Нареч. в знач. предлога,Нареч.,,Нареч.,,,-,-,НКРЯ: омонимия снята
наперехват,Дат,,2,+,-,-,+,Нареч.,Нареч.,,Нареч.,,,-,-,НКРЯ: омонимия не снята в контекстах с предложным употреблением
наподобие,Род,наподобье,9,+,+,+,+,+,+,,+,,,+,+,
на порог,Род,,1,,-,-,-,-,,-,+,,-,-,-,
на пороге,Род,,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,МАС: наречный оборот
на потребу,"Род, Дат",,1,,-,-,-,-,,-,+,,-,-,-,
на почве,Род,,8,+,+,-,Устойч. сочетание,Устойч. сочетание,,+,+,+,+,-,-,МАС: предложный оборот
на правах,Род,,6,+,+,-,-,Устойч. сочетание,,+,+,,+,-,-,МАС: предложный оборот
направо от,Род,направо ото,3,,-,-,Устойч. сочетание,-,,+,+,,-,-,-,"Вики: единственное из подобных словосочетаний, указанное как устойчивое
МАС: направо - наречие"
на пределе,Род,,2,,-,-,-,Устойч. сочетание,,-,+,-,-,-,-,"НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»
МАС: наречный оборот"
на предмет,Род,,8,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Сочетание в знач. предлога,,+,+,,+,+,-,
на примере,Род,,1,,-,-,-,-,,-,+,,-,-,-,
напротив,Род,,10,+,+,+,"Наречие, также предлог",+,+,+,+,,,+,+,
на протяжении,Род,на протяженьи,9,+,+,-,Устойч. сочетание,Сочетание в знач. предлога,,+,+,+,+,+,-,
на пути,Род,,7,+,+,-,-,? Устойч. сочетание,,+,+,,+,+,-,МАС: с предлогом К
на пути к,Дат,на пути ко,6,+,+,-,-,Устойч. сочетание,,+,-,,+,+,-,"МАС: предложный оборот
НКРЯ: омонимия снята, предлог + сущ. + предлог"
на путях,Род,,4,+,+,-,-,-,,+,-,,+,-,-,"НКРЯ: омонимия снята, предлог + сущ."
на путях к,Дат,на путях ко,4,+,+,-,-,-,,+,-,,+,-,-,"НКРЯ: омонимия не снята, предлог + сущ. + предлог"
наравне с,Твор,наравне со,10,+,+,-,Нареч. + предлог,Нареч. + предлог,,+,+,+,+,+,+,
на радость,"Род, Дат",,5,+,+,-,-,-,,+,+,,+,-,-,
на расстоянии,Род,,3,,-,-,Устойч. сочетание,Устойч. сочетание,,-,+,-,-,-,-,"НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»
МАС: наречное употребление
Вики: нет статьи, но есть для на расстояньи (наречная группа)"
наряду с,Твор,наряду со,8,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Нареч. + предлог,,+,+,,+,+,-,
на случай,Род,,6,+,+,-,-,Устойч. сочетание,,+,+,,+,-,-,МАС: предложный + наречный оборот
на смену,Дат,,7,+,+,-,Устойчивое сочетание,Устойч. сочетание,,+,+,,+,-,-,МАС: предложный оборот
на срок,Род,,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,МАС: наречный оборот
на стороне,Род,,7,+,+,-,Устойч. сочетание,? Устойч. сочетание,,+,+,,+,-,-,"МАС: указано уст. сочетание быть на стороне(чего)
НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»"
на страже,Род,,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,МАС: указаны уст. сочетания быть/стоять на страже (чего) + наречное сочетание на страже
насупротив,Род,,8,+,+,-,"Наречие, также предлог",+,+,,+,,,-,+,
насчёт,Род,насчет,8,+,+,+,+,+,+,+,+,,,-,-,
на счету,Род,,4,,-,-,"Устойчивое сочетание, исп. в кач-ве наречия",? Устойч. сочетание,,+,+,,-,-,-,МАС: указаны уст. сочетания быть/иметь на счету
на тему,Род,,1,,-,-,-,-,,-,+,,-,-,-,
на уровне,Род,,3,+,+,-,-,? Устойч. сочетание,,-,-,,-,-,-,"Вики: указано уст. сочетание (быть) на уровне
МАС: указаны уст. сочетания быть/ находиться на уровне
НКРЯ: омонимия снята, предлог + сущ."
на фоне,Род,,2,+,+,-,-,-,,-,-,,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
начиная,,,4,+,+,-,-,-,GRND,-,+,,-,+,-,МАС: в сочетании с предлогами «с» или «от»
начиная от,Род,начиная ото,6,+,+,-,-,Сочетание предлогов,,+,+,,+,-,-,
начиная с,Род,начиная со,9,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Сочетание предлогов,,+,+,+,+,+,-,
не без,Род,,7,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Сочетание с предлогом,,+,+,,+,-,-,
невдалеке от,Род,невдалеке ото,7,+,+,-,-,Предложное сочетание с предлогом ОТ,,+,+,,+,+,-,Вики: невдалеке – нареч.
невзирая на,Вин,,10,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Сочетание предлогов,,+,+,+,+,+,+,
не в пример,Дат,,7,+,+,-,"Устойчивое сочетание, исп. в кач-ве нар.",Устойч. сочетание,,+,-,,+,+,-,"МАС: предложный + наречный оборот
НКРЯ: омонимия снята, наречный оборот"
не говоря о,Предл,"не говоря об
не говоря обо",4,+,+,-,-,-,,+,-,,+,-,-,"НКРЯ: омонимия снята, частица + деепр. + предлог"
недалеко от,Род,недалеко ото,7,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",-,,+,+,+,+,-,-,МАС: недалеко – нареч.
не до,Род,,5,+,+,-,-,Устойч. сочетание,,+,-,,+,-,-,"МАС: предложный оборот
НКРЯ: омонимия снята, частица + предлог; часть наречных оборотов не до чего, не до шуток "
не доходя,Род,,3,,-,-,-,-,,+,+,,-,+,-,
не доходя до,Род,,2,,-,-,-,-,,+,-,,-,+,-,"НКРЯ: омонимия снята, частица + деепр. + предлог ?
Среди дизамбигуиров. контекстов для не доходя (предл. оборот) есть один с не доходя до"
независимо,Род,,2,+,+,-,"Нареч., прил.",Нареч.,Нареч.,Нареч.,Нареч.,,-,-,-,"(устаревшее употребление, до 1917 в НКРЯ)
НКРЯ: омонимия не снята в контекстах с предложным употреблением"
независимо от,Род,независимо ото,9,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Предложное сочетание с предлогом ОТ,,+,+,+,+,+,-,
незадолго до,Род,,2,,-,-,-,-,,+,+,,-,-,-,"МАС: незадолго – нареч.
Вики: незадолго – нареч."
не обращая внимания на,Вин,,1,,-,-,-,-,,-,-,+,-,-,-,"Вики: указаны уст. сочетания обратить/ обращать внимание
НКРЯ: омонимия снята, частица + деепр. + сущ. + предлог "
неподалёку от,Род,"неподалёку ото
неподалеку от
неподалеку ото",5,,+,-,-,Предложное сочетание с предлогом ОТ,,+,+,,+,-,-,Вики: неподалёку – нареч.
не позднее,Род,,1,,-,-,-,-,,-,-,+,-,-,-,"Вики: позднее – нареч. и предлог
МАС: позднее – нареч.
НКРЯ: омонимия снята, частица + наречие"
несмотря,,,5,,-,adv,+,+,+,+,+,,,-,-,
несмотря на,Вин,,10,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Предлог с вин.п. в сочетании с НА,,+,+,+,+,+,+,
не считая,Вин,,8,+,+,-,Устойчивое сочетание,-,,+,+,+,+,+,-,Вики: указан в категории Русские предлоги
ниже,Род,,9,+,+,+,+,+,+,+,+,,,-,+,
о,"Вин, Предл","об
обо",10,+,+,+,+,+,+,+,+,,,+,+,
обок,Род,,5,+,+,-,Нареч.,+,+,,+,,,-,-,Вики: указан в категории Русские предлоги
о бок с,Твор,о бок со,1,,-,-,-,-,,-,+,,-,-,-,
обочь,Род,,5,+,+,-,"Нареч., также предлог",+,-,,+,,,-,-,
одновременно с,Твор,одновременно со,2,,-,-,-,-,,-,+,+,-,-,-,"МАС: одновременно – нареч.
Вики: одновременно – нареч."
около,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
окрест,Род,,8,+,+,+,"Нареч., также предлог",+,+,,+,,,-,+,
окромя,Род,окроме,5,,-,+,+,+,+,,+,,,-,-,
округ,Род,,4,,-,-, нареч. также предлог,+,Нареч.,,+,,,+,-,Ханко: только контексты с сущ.
опосля,Род,,3,,-,adv,нареч. также предлог,+,-,,+,,,-,-,
опричь,Род,,4,,-,-,+,+,+,,+,,,-,-,
